2022-12-27,'Direct Deposit from FIS EBT for CODHS EBT',571.5
2022-12-01,'Signature purchase from 372619000881 NOODLES & CO 102 BOULDER CO US',-7.63
2022-12-01,'Signature purchase from 984213689883 AMANTE UPTOWN BOULDER CO US',-1.63
2022-12-01,'Signature purchase from 984213689883 AMANTE UPTOWN BOULDER CO US',-2.95
2022-12-01,'PIN purchase from 000000000883445 SHELL SERVICE STATION BOULDER CO US',-8.56
2022-12-01,'Signature purchase from 4445197772509 WENDY'S - 11318 BOULDER CO US',-9.89
2022-12-01,'Signature purchase from 519701011102977 LOGAN`S ESPRESSO CAFE  IN BOULDER CO US',-3.27
2022-12-02,'Plan Fee 12/01/2022',-5.0
2022-12-02,'Signature purchase from 984213689883 AMANTE UPTOWN BOULDER CO US',-1.63
2022-12-02,'Signature purchase from 984213689883 AMANTE UPTOWN BOULDER CO US',-2.83
2022-12-02,'Signature purchase from 984213689883 AMANTE UPTOWN BOULDER CO US',-1.53
2022-12-02,'Signature purchase from 599291101543100 STARBUCKS STORE 10857 BOULDER CO US',-3.22
2022-12-02,'Signature purchase from 4445197772509 WENDY'S - 11318 BOULDER CO US',-8.6
2022-12-02,'PIN purchase from 000000000883445 SHELL SERVICE STATION BOULDER CO US',-2.06
2022-12-02,'PIN purchase from 000000000883445 SHELL SERVICE STATION BOULDER CO US',-8.56
2022-12-03,'Signature purchase from 330629000267860 MASABI_RTD 303-299-6000 CO US',-3.0
2022-12-03,'Signature purchase from 984213689883 AMANTE UPTOWN BOULDER CO US',-3.54
2022-12-03,'Signature purchase from 984213689883 AMANTE UPTOWN BOULDER CO US',-1.63
2022-12-03,'Signature purchase from 984213689883 AMANTE UPTOWN BOULDER CO US',-1.53
2022-12-03,'PIN purchase from 16022T24 WALGREENS STORE 1111 BROA BOULDER CO US',-17.57
2022-12-03,'Signature purchase from 4445197772509 WENDY'S - 11318 BOULDER CO US',-8.57
2022-12-04,'Signature purchase from 984213689883 AMANTE UPTOWN BOULDER CO US',-1.63
2022-12-04,'Signature purchase from 599291101543100 STARBUCKS STORE 10857 BOULDER CO US',-3.22
2022-12-04,'Signature purchase from 519701011102977 LOGAN`S ESPRESSO CAFE  IN BOULDER CO US',-3.71
2022-12-04,'Signature purchase from 519701011102977 LOGAN`S ESPRESSO CAFE  IN BOULDER CO US',-4.14
